금리,,,,,,,환율,,,물가상승률,,
항목,중앙은행 정책 금리(%),할인율(%),시중 금리(%),예금금리(%),대출금리(%),정부채(%),USD 비율(자국화폐/US$ 기말),,,Year,Inflation Rate (%),Annual Change
1960. 01 월,,,,,,,50.000 (Won/US$),,,2018,1.48%,-0.47%
1960. 02 월,,,,,,,65.000 (Won/US$),,,2017,1.94%,0.97%
1960. 03 월,,,,,,,65.000 (Won/US$),,,2016,0.97%,0.27%
1960. 04 월,,,,,,,65.000 (Won/US$),,,2015,0.71%,-0.57%
1960. 05 월,,,,,,,65.000 (Won/US$),,,2014,1.27%,-0.03%
1960. 06 월,,,,,,,65.000 (Won/US$),,,2013,1.30%,-0.89%
1960. 07 월,,,,,,,65.000 (Won/US$),,,2012,2.19%,-1.84%
1960. 08 월,,,,,,,65.000 (Won/US$),,,2011,4.03%,1.09%
1960. 09 월,,,,,,,65.000 (Won/US$),,,2010,2.94%,0.18%
1960. 10 월,,,,,,,65.000 (Won/US$),,,2009,2.76%,-1.92%
1960. 11 월,,,,,,,65.000 (Won/US$),,,2008,4.67%,2.14%
1960. 12 월,,,,,,,65.000 (Won/US$),,,2007,2.53%,0.29%
1961. 01 월,,,,,,,100.000 (Won/US$),,,2006,2.24%,-0.51%
1961. 02 월,,,,,,,130.000 (Won/US$),,,2005,2.75%,-0.84%
1961. 03 월,,,,,,,130.000 (Won/US$),,,2004,3.59%,0.08%
1961. 04 월,,,,,,,130.000 (Won/US$),,,2003,3.51%,0.75%
1961. 05 월,,,,,,,130.000 (Won/US$),,,2002,2.76%,-1.30%
1961. 06 월,,,,,,,130.000 (Won/US$),,,2001,4.07%,1.81%
1961. 07 월,,,,,,,130.000 (Won/US$),,,2000,2.26%,1.45%
1961. 08 월,,,,,,,130.000 (Won/US$),,,1999,0.81%,-6.70%
1961. 09 월,,,,,,,130.000 (Won/US$),,,1998,7.51%,3.07%
1961. 10 월,,,,,,,130.000 (Won/US$),,,1997,4.44%,-0.49%
1961. 11 월,,,,,,,130.000 (Won/US$),,,1996,4.92%,0.44%
1961. 12 월,,,,,,,130.000 (Won/US$),,,1995,4.48%,-1.79%
1962. 01 월,,,,,,,130.000 (Won/US$),,,1994,6.27%,1.46%
1962. 02 월,,,,,,,130.000 (Won/US$),,,1993,4.80%,-1.41%
1962. 03 월,,,,,,,130.000 (Won/US$),,,1992,6.21%,-3.12%
1962. 04 월,,,,,,,130.000 (Won/US$),,,1991,9.33%,0.76%
1962. 05 월,,,,,,,130.000 (Won/US$),,,1990,8.57%,2.87%
1962. 06 월,,,,,,,130.000 (Won/US$),,,1989,5.70%,-1.45%
1962. 07 월,,,,,,,130.000 (Won/US$),,,1988,7.15%,4.10%
1962. 08 월,,,,,,,130.000 (Won/US$),,,1987,3.05%,0.30%
1962. 09 월,,,,,,,130.000 (Won/US$),,,1986,2.75%,0.29%
1962. 10 월,,,,,,,130.000 (Won/US$),,,1985,2.46%,0.19%
1962. 11 월,,,,,,,130.000 (Won/US$),,,1984,2.27%,-1.15%
1962. 12 월,,,,,,,130.000 (Won/US$),,,1983,3.42%,-3.77%
1963. 01 월,,,,,,,130.000 (Won/US$),,,1982,7.19%,-14.16%
1963. 02 월,,,,,,,130.000 (Won/US$),,,1981,21.35%,-7.35%
1963. 03 월,,,,,,,130.000 (Won/US$),,,1980,28.70%,10.37%
1963. 04 월,,,,,,,130.000 (Won/US$),,,1979,18.32%,3.86%
1963. 05 월,,,,,,,130.000 (Won/US$),,,1978,14.46%,4.36%
1963. 06 월,,,,,,,130.000 (Won/US$),,,1977,10.10%,-5.23%
1963. 07 월,,,,,,,130.000 (Won/US$),,,1976,15.33%,-9.92%
1963. 08 월,,,,,,,130.000 (Won/US$),,,1975,25.25%,0.95%
1963. 09 월,,,,,,,130.000 (Won/US$),,,1974,24.30%,21.08%
1963. 10 월,,,,,,,130.000 (Won/US$),,,1973,3.22%,-8.47%
1963. 11 월,,,,,,,130.000 (Won/US$),,,1972,11.69%,-1.82%
1963. 12 월,,,,,,,130.000 (Won/US$),,,1971,13.51%,-2.44%
1964. 01 월,,10.22,,,,,130.000 (Won/US$),,,1970,15.95%,3.56%
1964. 02 월,,10.22,,,,,130.000 (Won/US$),,,1969,12.39%,1.62%
1964. 03 월,,10.5,,,,,130.000 (Won/US$),,,1968,10.77%,-0.11%
1964. 04 월,,10.5,,,,,130.000 (Won/US$),,,1967,10.88%,-0.38%
1964. 05 월,,10.5,,,,,255.770 (Won/US$),,,1966,11.26%,-2.29%
1964. 06 월,,10.5,,,,,255.770 (Won/US$),,,1965,13.55%,-15.91%
1964. 07 월,,10.5,,,,,255.770 (Won/US$),,,1964,29.46%,8.77%
1964. 08 월,,10.5,,,,,255.770 (Won/US$),,,1963,20.69%,14.07%
1964. 09 월,,10.5,,,,,255.770 (Won/US$),,,1962,6.62%,-1.58%
1964. 10 월,,10.5,,,,,255.770 (Won/US$),,,1961,8.20%,0.23%
1964. 11 월,,10.5,,,,,255.770 (Won/US$),,,1960,7.97%,0.23%
1964. 12 월,,10.5,,,,,255.770 (Won/US$),,,,,
1965. 01 월,,10.5,,,,,255.770 (Won/US$),,,,,
1965. 02 월,,10.5,,,,,255.770 (Won/US$),,,,,
1965. 03 월,,10.5,,,,,263.210 (Won/US$),,,,,
1965. 04 월,,10.5,,,,,255.770 (Won/US$),,,,,
1965. 05 월,,10.5,,,,,271.180 (Won/US$),,,,,
1965. 06 월,,10.5,,,,,271.380 (Won/US$),,,,,
1965. 07 월,,10.5,,,,,271.580 (Won/US$),,,,,
1965. 08 월,,10.5,,,,,272.180 (Won/US$),,,,,
1965. 09 월,,10.5,,,,,271.980 (Won/US$),,,,,
1965. 10 월,,10.5,,,,,271.780 (Won/US$),,,,,
1965. 11 월,,21,,,,,271.780 (Won/US$),,,,,
1965. 12 월,,28,,,,,271.780 (Won/US$),,,,,
1966. 01 월,,28,,,,,271.680 (Won/US$),,,,,
1966. 02 월,,28,,,,,271.680 (Won/US$),,,,,
1966. 03 월,,28,,,,,271.680 (Won/US$),,,,,
1966. 04 월,,28,,,,,271.180 (Won/US$),,,,,
1966. 05 월,,28,,,,,271.180 (Won/US$),,,,,
1966. 06 월,,28,,,,,271.180 (Won/US$),,,,,
1966. 07 월,,28,,,,,271.180 (Won/US$),,,,,
